asset,diff_native_20250325,diff_native_20250326,diff_native_20250327,diff_native_20250328,diff_native_20250329,diff_native_20250330,diff_native_20250331,diff_native_20250401,diff_native_20250402,diff_native_20250403,20250402,diff_native_20250404,diff_native_20250405,diff_native_20250406,diff_native_20250301,diff_native_20250407,diff_native_20250408,diff_native_20250409,diff_native_20250410,diff_native_20250411,diff_native_20250412,diff_native_20250414,diff_native_20250413,diff_native_20250131,diff_native_20250415,diff_native_20250416,diff_native_20250422,diff_native_20250423,diff_native_20250424,diff_native_20250427,diff_native_20250426,diff_native_20250425,diff_native_20250428,diff_native_20250429,diff_native_20250430,diff_native_20250501,diff_native_20250505,diff_native_20250506,diff_native_20250507,diff_native_20250508,diff_native_20250509,diff_native_20250510,diff_native_20250511,diff_native_20250512,diff_native_20250513,diff_native_20250514,diff_native_20250515,diff_native_20250518,diff_native_20250519,diff_native_20250520,diff_native_20250521,diff_native_20250522,diff_native_20250525,diff_native_20250523,diff_native_20250524,diff_native_20250526,diff_native_20250527,diff_native_20250531,diff_native_20250530,diff_native_20250610,diff_native_20250611,diff_native_20250612,diff_native_20250613,diff_native_20250615,diff_native_20250614,diff_native_20250616,diff_native_20250617,diff_native_20250618,diff_native_20250529,diff_native_20250528,diff_native_20250619,diff_native_20250620
1INCH,-6841.480407133873,-6714.552975133818,-6841.4512023438,-6841.4512023438,-6841.4512023438,-6841.4512023438,-7012.509968343831,-7012.509968343831,-7012.509968343831,-6841.459438343823,-7012.509968343831,-6899.33897734381,-6899.33897734381,-6841.470649343857,-6687.514607088524,-6841.572506343829,-6841.572506343829,-6841.572506343829,-6841.572506343829,-6841.572506343829,-6841.54704665381,-6691.54704665381,-6841.54704665381,-6829.19312121853,-6691.547046653868,-6691.54704665381,-6688.1002766538295,-6688.184942653868,-6572.038495923858,-6572.038495923858,-6572.038495923858,-6572.038495923858,-6688.16824592388,-6688.16824592388,-6688.16824592388,-6688.16824592388,-6688.209472753864,-6688.209472753864,-6688.209472753864,-2864.6094727538875,-6688.214329753828,-6588.302629753831,-6688.14221388381,-6688.14221388381,-6688.14221388381,-6733.027426883811,-6733.027426883811,-6688.122612723848,-6688.122612723848,-6688.122612723848,-6688.122612723848,-6688.122612723848,-6838.028212723846,-6838.122612723848,-6838.028212723846,-6838.028212723846,-5891.2282127237995,-6838.172252723831,-6838.167822723801,-6838.195693523856,-6713.1908335238695,-6713.1908335238695,-6713.1908335238695,-6713.1908335238695,-6713.1908335238695,-6642.200639523857,-6713.190833523811,-6686.527668703813,-6838.088453723874,-6838.152467723819,-6592.176390703826,-6592.176390703826
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66176.44222311326,-66166.20798403176,-66139.58337806998,-65440.93952072004,-66236.59226871002,-65711.96165538003,-66147.74771271,-66170.46435741999,-66158.82379985001,-66148.47174220002,-65691.45107375004,-66165.84842287481,-66172.95819414878,-66124.67624141002,-66175.69573614997
AAVE,-12.175025488325446,-12.29146564018447,-12.22442881186089,-12.288926949448978,-12.289033903713973,-12.289301451821302,-12.140490305009736,-12.343280060096731,-12.292986508812646,-12.297179205835164,-12.292986508812646,-12.043988140662805,-12.045374099846413,-12.303205792087285,-10.96217852045993,-12.304875093575902,-12.522104200809736,-12.305297195141064,-12.304765923259763,-12.470472538914692,-12.469319917163377,-12.307494566175592,-12.09041332797824,-10.9351411318421,-12.089171004583475,-12.30692005887795,-12.30890741731764,-12.307410640140915,-12.309709319390096,-12.314381939108898,-12.31376293818994,-12.232559375488565,-12.314440420114806,-12.382759925537355,-12.315802229306428,-12.31792098490223,-12.31470124464613,-12.316411802048606,-12.31833054933304,-12.319572616453115,-12.319030909661706,-12.318512058863234,-12.31841553133745,-12.31788458961728,-12.316573337348927,-12.308270700011237,-12.310198400881744,-12.312877462650247,-12.238717735853244,-12.422983148003368,-12.325896035318692,-12.323769954958152,-18.729609713478567,-11.656145608815676,-11.65873556904262,-18.6648910894628,-18.5824886020082,-18.737337047597062,-18.735804332182852,-17.507900553498985,-20.481347503498,-17.900312653498986,-18.675746763498864,-11.656136253499426,-18.76091544349856,-11.60709265349942,-11.39663993349859,-11.695410473499578,-18.735525289402176,-18.730134009809262,-11.441835213499871,-11.44157224349874
ACA,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.68370275991,31511.681230759947,31511.670174760045,31511.683160759974,31511.683160759974,31511.683160759974,31511.683160759974,31511.683160759974,31511.683160759974,31126.673160759965,31511.683160759974,31511.675553760026,31126.673160759965,31126.728799759992,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,30431.389321759925,31511.725808760035,31114.46717276005,31114.46717276005,31511.70945675997,31511.70945675997,31511.70332175994,31511.70332175994,31511.70332175994,31511.70653675997,31511.70092575997,31511.696525759995,31511.696525759995,31511.696525759995,31511.696525759995,31511.696525759995,31511.696525759995,31896.696525759995,31511.696525759995,31896.696525759995,31896.696525759995,31896.696525759995,31896.696525759995,31896.696525759995,30511.69005275995,30511.69005275995,30511.69005275995,30511.69005275995,30511.69005275995,30511.69005275995,30511.69005275995,30511.690052760063,32109.602431200095,31896.696525759995,31896.696525759995,32511.709634299972,32511.709634299972
ACH,-35079.47244870104,-34813.39090470038,-34813.39090470038,-34813.39090470038,-34814.82459970005,-34816.58172770031,-34816.81122470088,-34816.81122470088,-35316.560597701,-34817.4736407008,-35316.560597701,-34818.945896700025,-35329.26119170152,-34820.273349700496,-35305.10988270119,-35570.1264177002,-33790.560072701424,-34819.55083870143,-34819.88370470144,-32603.18939870037,-34819.18939870037,-34740.54260270111,-34818.99944470078,-34843.796458499506,-34632.901806700975,-34689.189228700474,-33013.77299470082,-34688.484876699746,-33549.34701970033,-34689.020166700706,-2209699.0201667007,-2209699.0201667007,-34689.03662770055,-34689.03662770055,-34690.752413701266,-34690.752413701266,-34155.692958951,-35293.010476950556,-35293.010476950556,-34689.36640894972,-34689.27215995081,-34690.06098595075,-34689.50439195149,-34688.8505589515,-34689.29688595049,-34689.47097095102,-34689.51287596114,-34687.85050594993,-34688.647216951475,-34687.90452195145,-33870.795182950795,-34688.633137950674,-34688.017027949914,-34688.54813094996,-34688.97944094986,-34677.99307080917,-34660.05228423141,-34592.02554726228,-34609.776476161554,-34042.655591910705,-32023.70443180017,-34005.99319099076,-34889.23044648953,-34541.770619610325,-33968.45105931908,-34443.910607840866,-33849.878395861015,-33852.109998669475,-34626.67634499073,-34644.31272427924,-33852.23970466852,-33852.50201866962
ACM,-607.82796527,-607.82796527,-607.83963827,-607.9649582700004,-607.9649582700004,-607.9649582700004,-607.9649582700004,-607.9649582700004,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.7905242699999,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.17512427,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-607.9649582700001,-657.7694502700001,-584.98719127,-608.08719127,-608.08719127,-608.08719127,-559.08719127,-608.08719127,-608.12655827,-630.9005312699999,-630.9005312699999,-630.9005312699999,-608.2402082700005,-608.24020827,-608.24020827,-608.24020827,-608.24020827,-608.24835327,-584.24020827,-584.24020827,-608.2483532700003,-608.2483532700003,-638.4299512699997,-638.4299512699997,-608.3302052699999,-608.3302052699999,-635.0013282699999,-635.0013282699999,-635.0013282699999,-635.0013282699999,-635.0013282699999,-635.0013282699999,-635.0012062699996,-638.4299512699997,-638.4299512699997,-635.0012062699996,-635.0012062699996
ACT,714.2378754999954,714.2378754999954,714.2378754999954,714.2378754999954,714.2378754999954,714.2378754999954,658.132079499992,566.2262845000078,21.013047499989625,713.3940405000467,21.013047499989625,713.4427404999733,713.5658945000032,1213.5658945000032,850.7662875000096,239.5501355000306,713.5559605000308,713.5559605000308,693.903969499981,718.58571449999,883.4727745000273,760.5985324999783,1134.592177500017,626.5701874999941,300.5923804999911,760.6524525000132,760.8528914999915,930.1636784999864,364.3708624999854,760.6964694999915,760.732700499997,743.7154004999902,364.17211650000536,608.9721164999937,760.7436215000052,760.6639054999978,760.6131074999867,760.6549995000241,760.6549995000241,760.7778225000075,760.704295500007,716.1683285000036,760.491482500016,760.1889574999805,760.1074645000044,760.0841444999678,1073.4356815000065,760.0642194999964,760.0125325000263,759.9852594999829,759.9852594999829,1114.364219500043,491.4432054999925,1114.364219500043,491.4432054999925,759.9483145000122,759.9483145000122,173.44273449998582,173.44273449998582,1406.2774445000105,760.0571425000089,760.0571425000089,1714.557142500009,-8.483508500008611,1714.5571424999798,-8.483508500008611,760.1164915000263,760.1164914999972,384.6715484999877,760.0480194999836,760.1164914999972,760.1164914999972
ACX,44.28019843169022,44.80237250226491,45.031327582197264,-3.036732420005137,-2.9287734356330475,-2.8047234397672582,42.659044378360704,42.68218890960998,-2.428819936405489,-2.348503775545396,-2.428819936405489,-2.348503777891892,-2.348503779998282,-2.348503779998282,,-2.304534053433599,-2.304534053433599,-2.2186087570335076,-2.2186087570335076,-2.2186087600020983,118.1960104587488,118.19601046000024,118.1960104587488,,118.19601046000024,118.19601046000024,118.22295748000032,118.2478109956246,118.22964693312316,-2.1239406799977587,-2.123940677185601,118.20183932031432,-2.1239406799977587,-2.1652248596838035,-2.2181667542172363,-2.2181667545301025,-2.2047878387493256,-2.1334987762493256,-2.1334987775007903,-151.1318203132032,-151.1318203132032,-151.1318203100018,-151.1318203100018,-2.058987058047933,-2.013454831485433,-2.0134548334353894,-2.0134548300011375,-1.9846218221864549,-1.9846218221864549,-1.9846218199963912,-1.9846218199963912,-1.9846218199963912,-1.9846218199963912,-1.9846218199963912,-1.9846218199963912,-2.063253411793994,-2.063253411793994,-2.11139022000134,188.26656977999664,-2.055207650002558,-2.0173087300026964,-32.780724989999726,-119.31126037999638,-137.47398626000358,-137.47398626000358,3.3304644799973175,8.059320709995518,-46.071880920000694,188.26656978335816,188.26656978335816,-2.1044992499992077,-2.1044992499992077
ADA,127657.86339822412,123354.78226017952,123344.84652929008,123307.97777301072,123355.58666202426,123316.289829202,123293.39996808022,149323.39324054867,144910.6415307969,145171.145848006,144910.6415307969,145036.94087521732,144988.12843611836,145016.02738204598,-9386.0,150213.0,150227.31228396297,150248.37618553638,149733.0272603333,149913.3942361772,149890.30735787004,149903.30060005188,149896.18075489998,4973.71640112251,150006.0779350251,145570.75414554775,145591.48837877065,145624.40037108958,145876.43431329727,141529.00550588965,141444.4532756135,141445.86649235338,141507.47042895854,141634.47318431735,137171.52037610114,161345.35264442116,160992.97776215523,268990.0953787342,157264.566251114,157281.1054784134,158012.2682672739,157314.254456304,157321.6692456752,157685.4880112931,153372.70270296186,153335.05176271498,153353.92267246544,103169.5710062906,103166.64197372644,98769.646035254,98787.87680071592,98794.19832643868,98774.52544020116,98801.27895879,98807.61291686444,98783.38803964852,123894.947770603,130298.19802688809,130048.59822066128,173711.61469367146,128191.9735442847,127369.04554496706,128519.14844875038,128722.73576928677,129433.86131069064,146192.64575154334,143364.9515323639,150588.19842623174,130286.23093733937,123917.6332372576,138040.0610667765,138768.21023013443
ADX,2448.832310810016,2316.4353108100186,2315.9855498099932,2315.9855498099932,2315.9855498099932,2315.9855498099932,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2634.8692678100197,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2350.898565320007,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2317.0225068100117,2316.8731828100135,2316.9478448100126,2316.9297908100125,2316.9297908100125,2316.9297908100125,2316.9297908100125,2316.9297908100125,2589.682548530007,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2487.7398085300083,2317.3775386500056,2487.7398085300083,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2309.4791876500094,2487.7398085300083,2487.7398085300083,2309.4791876500094,2309.4791876500094
