account;asset;price;current_quantity;desired_quantity;expected_quantity;diff_native;diff_nominal;nominal_quantity;epoch;timestamp;;comments
;ERN;1.52;;;;;;;25281;;;
;ERN;1.36;;;;;;;25587;;;
;ERN;1.67;;;;;;;25017;;;
;BNX;;;;;-81;;;25873;;;
;XRP;;;;;98531;;;25873;;;
;FORM;1.69;;;;;;;25873;;;
;FORM;1.69;;;;;;;26161;;;
;BNB;;;;;226;;;26447;;;
;BNB;;;;;226;;;26733;;;
;BNB;;;;;226;;;27021;;;
;BNB;;;;;226;;;27308;;;
;USDC;;;;;1907184;;;27308;;;
;ZETA;;;;;-728;;;27596;;;YF positions are not correctly fetched
;GPS;;;;;;;;27596;;;YF positions are not correctly fetched
;AUCTION;;;;;-3;;;27883;;;
;ZETA;;;;;-728;;;27883;;;
;EUR;;;;;-21202279;;;27903;;;
;ZIG;;;;;0;;;27903;;;Thomas will solve this, wrong address in Kucoin
;ZIG;;;;;0;;;28171;;;
;ATOM;;;;;34241;;;28171;;;
;SOL;;;;;6417;;;28459;;;wrong logged in Retool
;ZIG;;;;;0;;;28459;;;
;ZIG;;;;;0;;;28747;;;
;SOL;;;;;6431;;;28747;;;
;ZIG;;;;;0;;;29034;;;
;SOL;;;;;6431;;;29034;;;
;ZIG;;;;;0;;;29310;;;
;SOL;;;;;6431;;;29310;;;
;BNB;;;;;225.47;;;29310;;;
;USDC;;;;;-7933911;;;29310;;;
;ZIG;;;;;0;;;29357;;;
;ADA;;;;;-9386;;;21478;;;
;SHIB;;;;;2946904661;;;21478;;;
;XLM;;;;;196133;;;21478;;;
;WAVES;;;;;50651;;;21478;;;
;S;;;;;-1058658;;;21478;;;
;DOGE;;;;;974401;;;29598;;;
;ZIG;;;;;0;;;29598;;;
;DOGE;;;;;974401;;;29496;;;
;ZIG;;;;;0;;;29496;;;
;ZIG;;;;;0;;;23472;;;
;ZIG;;;;;0;;;29778;;;Thomas will solve this, wrong address in Kucoin
;XRP;;;;;106377;;;29778;;;xrp loan was verkeerd geloggd, in plaats van - 1 miljoen stond er geen minnetje voor dus werd het plud 2 miljoen
